asset_id,feeder_id,substation_id,region_id,asset_type,asset_name,lat,lon,install_year,manufacturer,material,voltage_kv,status,criticality_score,access_difficulty_score,coastal_corrosion_score,flood_exposure_score,cyclone_exposure_score,bushfire_exposure_score
AST-SEQ-POL-000001,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000002,-27.625558,153.093709,1962,SteelPoleAU,steel,11.0,planned_replacement,88.0,12.6,2.3,4.2,17.7,0
AST-SEQ-CON-000002,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,conductor_span,CONDUCTOR_SPAN Logan 000003,-27.612236,153.058617,1998,Prysmian,acsr,33.0,in_service,77.7,24.2,3.5,33.8,13.4,5.7
AST-SEQ-POL-000003,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000004,-27.623278,153.041230,1999,Hardwood Co.,steel,22.0,in_service,75.6,7.0,0.3,30.7,13.2,22.1
AST-SEQ-SWI-000004,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,switch,SWITCH Logan 000005,-27.622696,153.102117,1977,NOJA Power,sf6,11.0,in_service,52.2,23.0,20.5,39.4,35.6,23.2
AST-SEQ-SEC-000005,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,sectionaliser,SECTIONALISER Logan 000006,-27.631416,153.101017,2017,NOJA Power,air,22.0,in_service,76.9,0.7,0,1.6,0,0.4
AST-SEQ-TRA-000006,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,transformer,TRANSFORMER Logan 000007,-27.649152,153.090492,2001,Schneider,dry_type,0.4,in_service,70.2,19.0,6.7,16.0,20.3,0
AST-SEQ-SWI-000007,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,switch,SWITCH Logan 000008,-27.650551,153.052816,2024,NOJA Power,air,22.0,in_service,70.3,29.7,7.2,35.0,0,13.8
AST-SEQ-POL-000008,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000009,-27.635094,153.062769,2003,Hardwood Co.,composite,33.0,in_service,56.6,23.4,0,27.0,26.5,0
AST-SEQ-POL-000009,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000010,-27.624996,153.079437,2006,ConcreteWorks,steel,33.0,in_service,50.3,7.2,2.0,32.7,11.6,0
AST-SEQ-TRA-000010,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,transformer,TRANSFORMER Logan 000011,-27.651097,153.115103,1994,ABB,dry_type,33.0,in_service,66.6,0,14.6,53.1,0,8.4
AST-SEQ-REC-000011,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,recloser,RECLOSER Logan 000012,-27.609375,153.070785,2004,S&C,vacuum,11.0,in_service,70.6,16.3,20.8,42.5,8.4,0
AST-SEQ-POL-000012,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000013,-27.625131,153.080194,2010,ConcreteWorks,steel,22.0,in_service,100,25.0,12.7,5.3,11.8,0
AST-SEQ-POL-000013,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000014,-27.444148,152.978374,2014,ConcreteWorks,concrete,11.0,in_service,55.8,0,0,21.6,25.2,0
